include,submitted_wording,proposed_title,kind,parent_title,edition_or_owned_detail,match_status,notes,source_url
Yes,ticket to ride,Ticket to Ride,Base game,,Original USA game,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/9209/ticket-to-ride
Yes,Botany,Botany,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/380837/botany
Yes,Everdell,Everdell,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/199792/everdell
Yes,Everdell duo,Everdell Duo,Base game,,Standalone two-player game,Ready to match,,https://boardgamegeek.com/boardgame/425005/everdell-duo
Yes,Gaia project,Gaia Project,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/220308/gaia-project
Yes,Terraforming mars,Terraforming Mars,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/167791/terraforming-mars
Yes,Wingspan,Wingspan,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/266192/wingspan
Yes,Clank! Catacombs,Clank!: Catacombs,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/365717/clank-catacombs
Yes,underworld DLC,Clank!: Catacombs – Underworld,Expansion,Clank!: Catacombs,,Ready to match,,https://boardgamegeek.com/boardgame/447586/clank-catacombs-underworld
Yes,One hit heroes,One-Hit Heroes,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/412731/one-hit-heroes
Yes,The castles of burgundy,The Castles of Burgundy,Base game,,Original edition (provisional),Ready to match,Owner believes this is the original; verify from box later if convenient.,https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy
Yes,Heat pedal to the metal,Heat: Pedal to the Metal,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal
Yes,Terraria the board game,Terraria: The Board Game,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/391286/terraria-the-board-game
Yes,Spirit island,Spirit Island,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/162886/spirit-island
Yes,Dead cells,Dead Cells: The Rogue-Lite Board Game,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/380135/dead-cells-the-rogue-lite-board-game
Yes,Stardew,Stardew Valley: The Board Game,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/332290/stardew-valley-the-board-game
Yes,Secret Hitler,Secret Hitler,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/188834/secret-hitler
Yes,Twilight imperium,Twilight Imperium: Fourth Edition,Base game,,Fourth Edition,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition
Yes,One last fight,One Last Fight,Base game,,,Ready to match,Matched from owner-provided BGG link.,https://boardgamegeek.com/boardgame/463580/one-last-fight
Yes,Unsettled Framework,Unsettled,Base game,,Framework,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/290484/unsettled
Yes,planet 001,Unsettled: Wenora,Expansion,Unsettled,Planet box 001,Ready to match,Included with the Framework product; no separate BGG item. Inherits base metadata.,https://orangenebula.com/en-asia/pages/unsettled-board-game
Yes,planet 002,Unsettled: Grakkis,Expansion,Unsettled,Planet box 002,Ready to match,Included with the Framework product; no separate BGG item. Inherits base metadata.,https://orangenebula.com/en-asia/pages/unsettled-board-game
Yes,planet 003,Unsettled: Zehronn,Expansion,Unsettled,Planet box 003,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/341022/unsettled-zehronn
Yes,planet 004,Unsettled: Yendraal,Expansion,Unsettled,Planet box 004,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/341024/unsettled-yendraal
Yes,planet 005,Unsettled: Strannos,Expansion,Unsettled,Planet box 005,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/341036/unsettled-strannos
Yes,planet 006,Unsettled: Kaelyfos,Expansion,Unsettled,Planet box 006,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/341037/unsettled-kaelyfos
Yes,planet 007,Unsettled: Koguya,Expansion,Unsettled,Planet box 007,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/358002/unsettled-koguya
Yes,planet 008,Unsettled: Blackout,Expansion,Unsettled,Planet box 008,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/358003/unsettled-blackout
Yes,planet 009,Unsettled: Gniir,Expansion,Unsettled,Planet box 009,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/358004/unsettled-gniir
Yes,Scientific Fascination,Unsettled: Scientific Fascinations,Expansion,Unsettled,,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/358009/unsettled-scientific-fascinations
Yes,Scientific Specialization,Unsettled: Scientific Specializations,Expansion,Unsettled,,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/358008/unsettled-scientific-specializations
Yes,Luna's,Unsettled: Luna's Synthesizer,Expansion,Unsettled,,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/405580/unsettled-lunas-synthesizer
Yes,Survival Task Pack 1,Unsettled: Survival Task Pack 1,Expansion,Unsettled,,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/358007/unsettled-survival-task-pack-1
Yes,Survival Task Pack 2,Unsettled: Survival Task Pack 2,Expansion,Unsettled,,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/409629/unsettled-survival-task-pack-2
Yes,Throw throw burrito,Throw Throw Burrito,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/274533/throw-throw-burrito
Yes,Command of nature,Command of Nature,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/390422/command-of-nature
Yes,dlc characters,Command of Nature: Sand & Wind,Expansion,Command of Nature,,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgameexpansion/392144/command-of-nature-sand-and-wind
Yes,Medium,Medium,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/242529/medium
Yes,Monikers,Monikers,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/156546/monikers
Yes,Deep regrets,Deep Regrets,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/397931/deep-regrets
Yes,Brink,Brink,Base game,,IV Studio / Moonrakers setting,Ready to match,Matched from owner-provided BGG link.,https://boardgamegeek.com/boardgame/415078/brink
Yes,Pandemic,Pandemic,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/30549/pandemic
Yes,Leviathan,Leviathan Wilds,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/358737/leviathan-wilds
Yes,leviathans deepval expansion,Leviathan Wilds: Deepvale,Expansion,Leviathan Wilds,,Ready to match,,https://boardgamegeek.com/boardgameexpansion/427282/leviathan-wilds-deepvale
Yes,Azul,Azul,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/230802/azul
Yes,Betrayal 2nd edition,Betrayal at House on the Hill,Base game,,Second Edition,Ready to match,,https://boardgamegeek.com/boardgame/10547/betrayal-at-house-on-the-hill
Yes,Blokus,Blokus,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/2453/blokus
Yes,Star munchkin deluxe,Star Munchkin Deluxe,Base game,,Deluxe edition,Ready to match,Deluxe is a version of the base BGG record.,https://boardgamegeek.com/boardgame/4095/star-munchkin
Yes,Dice throne 2 editions,Dice Throne: Season One,Base game/set,,Kickstarter Standard Edition equivalent; four-character set in two two-character boxes,Ready to match,"Owned characters: Barbarian, Moon Elf, Pyromancer, and Shadow Thief; confirmed by owner.",https://boardgamegeek.com/boardgame/216734/dice-throne-season-one
Yes,Micro macro full house,MicroMacro: Crime City – Full House,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/338834/micromacro-crime-city-full-house
Yes,Illiterati,Illiterati,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/348602/illiterati
Yes,Arcs,Arcs,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/359871/arcs
Yes,Root,Root,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/237182/root
Yes,7 wonders duel,7 Wonders Duel,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/173346/7-wonders-duel
Yes,Dungeon degenerates,Dungeon Degenerates: Hand of Doom,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/210232/dungeon-degenerates-hand-of-doom
Yes,moon madness expac,Dungeon Degenerates: Moon Madness Expansion Box,Expansion,Dungeon Degenerates: Hand of Doom,,Ready to match,BGG catalog title reconciled from the owner's shorthand.,https://boardgamegeek.com/boardgameexpansion/425905/dungeon-degenerates-moon-madness-expansion-box
Yes,Agricola,Agricola (Revised Edition),Base game,,Revised Edition (provisional),Ready to match,Owner believes this is the Revised Edition; verify from box later if convenient.,https://boardgamegeek.com/boardgame/200680/agricola-revised-edition
Yes,Marvel champions,Marvel Champions: The Card Game,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/285774/marvel-champions-the-card-game
Yes,Arkham horror + base game,Arkham Horror: The Card Game (Revised Core Set),Base game,,Revised Core Set,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/359609/arkham-horror-the-card-game-revised-core-set
Yes,the dunwich legacy,Arkham Horror: The Card Game – The Dunwich Legacy: Campaign Expansion,Expansion,Arkham Horror: The Card Game (Revised Core Set),Newer Campaign Expansion box,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/347149/arkham-horror-the-card-game-the-dunwich-legacy-campaign-expansion
Yes,the dunwich legacy,Arkham Horror: The Card Game – The Dunwich Legacy: Investigator Expansion,Expansion,Arkham Horror: The Card Game (Revised Core Set),Newer Investigator Expansion box,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/347148/arkham-horror-the-card-game-the-dunwich-legacy-investigator-expansion
Yes,Gloomhaven,Gloomhaven,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/174430/gloomhaven
Yes,Twisted cryptids,Twisted Cryptids,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/429840/twisted-cryptids
Yes,Hand to hand wombat,Hand-to-Hand Wombat,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/356909/hand-to-hand-wombat
Yes,Gloomhaven jaws of the lion,Gloomhaven: Jaws of the Lion,Base game,,Standalone game,Ready to match,,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion
Yes,Robot arena,Robot Quest Arena,Base game,,,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/304668/robot-quest-arena
Yes,Buzzed tower,Buzzed Tower,Base game,,What Do You Meme? model WSTD474,Ready to match,No BGG listing found. Keep as a local-metadata game using manufacturer details; adult drinking content should be flagged.,https://www.amazon.com/WHAT-DO-YOU-MEME-WSTD474/dp/B09T5L8XH4
Yes,One night super villain,One Night Ultimate Super Villains,Base game,,,Ready to match,Matched from owner-provided BGG link.,https://boardgamegeek.com/boardgame/255293/one-night-ultimate-super-villains
Yes,The resistance,The Resistance,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/41114/the-resistance
Yes,Code names,Codenames,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/178900/codenames
Yes,Coup,Coup,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/131357/coup
Yes,Decrypto,Decrypto,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/225694/decrypto
Yes,Anomia,Anomia,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/67877/anomia
Yes,Hive,Hive,Base game,,,Ready to match,,https://boardgamegeek.com/boardgame/2655/hive
Yes,Things!,The Game of THINGS…,Base game,,,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/16549/the-game-of-things
Yes,Dominion,Dominion: Second Edition,Base game,,Second Edition,Ready to match,Confirmed by owner.,https://boardgamegeek.com/boardgame/209418/dominion-second-edition
Yes,menagerie,Dominion: Menagerie,Expansion,Dominion: Second Edition,,Ready to match,,https://boardgamegeek.com/boardgame/298043/dominion-menagerie
Yes,prosperity,Dominion: Prosperity,Expansion,Dominion: Second Edition,,Ready to match,,https://boardgamegeek.com/boardgame/66690/dominion-prosperity
Yes,empires,Dominion: Empires,Expansion,Dominion: Second Edition,,Ready to match,,https://boardgamegeek.com/boardgame/201999/dominion-empires
Yes,intrigue,Dominion: Intrigue,Expansion,Dominion: Second Edition,,Ready to match,,https://boardgamegeek.com/boardgame/40889/dominion-intrigue
Yes,nocturne,Dominion: Nocturne,Expansion,Dominion: Second Edition,,Ready to match,,https://boardgamegeek.com/boardgame/244115/dominion-nocturne
